dept,arrv
DIK,CIU
DIK,EAU
DIK,ALO
DIK,PSG
DIK,RHI
DIK,PAH
DIK,ABR
DIK,EKO
DIK,SIG
DIK,ART
DIK,PGA
DIK,UST
DIK,MKG
DIK,LCK
DIK,SHR
DIK,BPT
DIK,HOB
DIK,RIW
DIK,CDV
DIK,OTH
DIK,CIC
DIK,UNK
DIK,APN
DIK,STC
DIK,INL
DIK,RKD
DIK,BRD
DIK,ESC
DIK,MRI
DIK,CYS
DIK,PIR
DIK,FMN
DIK,VDZ
DIK,ANI
DIK,BLV
DIK,LMT
DIK,KSM
DIK,DRT
DIK,BID
DIK,HGR
DIK,WRG
DIK,FRD
DIK,WST
DIK,CEC
DIK,HIB
DIK,PQI
DIK,MOD
DIK,IMT
DIK,MWA
DIK,GST
DIK,LEB
DIK,LWB
DIK,GAL
DIK,UIN
DIK,PIB
DIK,CLM
DIK,PVC
DIK,SHD
DIK,MGW
DIK,YAK
DIK,CKB
DIK,VRB
DIK,ROP
DIK,HNH
LUK,ATL
LUK,PHX
LUK,LAX
LUK,ORD
LUK,DFW
LUK,DEN
LUK,JFK
LUK,SFO
LUK,CLT
LUK,LAS
LUK,IAH
LUK,MCO
LUK,EWR
LUK,MSP
LUK,MIA
LUK,DTW
LUK,BOS
LUK,SEA
LUK,PHL
LUK,LGA
LUK,TPA
LUK,IAD
LUK,BWI
LUK,FLL
LUK,MDW
LUK,SLC
LUK,HNL
LUK,SAN
LUK,DCA
LUK,PDX
LUK,RSW
LUK,CVG
LUK,STL
LUK,MEM
LUK,MCI
LUK,OAK
LUK,MSY
LUK,SNA
LUK,RDU
LUK,BNA
LUK,CLE
LUK,HOU
LUK,SJC
LUK,SMF
LUK,SJU
LUK,AUS
LUK,SAT
LUK,PIT
LUK,DAL
LUK,IND
LUK,MKE
LUK,CMH
LUK,OGG
LUK,PBI
LUK,TUS
LUK,BDL
LUK,BUF
LUK,JAX
LUK,ANC
LUK,ABQ
LUK,OMA
LUK,ONT
LUK,BUR
LUK,OKC
LUK,PVD
LUK,RNO
LUK,CHS
LUK,ORF
LUK,RIC
LUK,SDF
LUK,GEG
LUK,ELP
LUK,GUM
LUK,LGB
LUK,KOA
LUK,BHM
LUK,TUL
LUK,LIH
LUK,BOI
LUK,DAY
LUK,AZA
LUK,ROC
LUK,ALB
LUK,MHT
LUK,GRR
LUK,DSM
LUK,LIT
LUK,SYR
LUK,GSP
LUK,MSN
LUK,MYR
LUK,PSP
LUK,GSO
LUK,CAK
LUK,PWM
LUK,ILM
LUK,PIE
LUK,SFB
LUK,TYS
LUK,SAV
LUK,HPN
LUK,PNS
LUK,ICT
LUK,FAT
LUK,ISP
LUK,COS
LUK,MDT
LUK,STT
LUK,BTV
LUK,LEX
LUK,DAB
LUK,ITO
LUK,JAN
LUK,SRQ
LUK,XNA
LUK,ACY
LUK,CAE
LUK,CID
LUK,PHF
LUK,HSV
LUK,LBB
LUK,FAI
LUK,PIA
LUK,SPN
LUK,MAF
LUK,BZN
LUK,EUG
LUK,GNV
LUK,FAR
LUK,JNU
LUK,EYW
LUK,BTR
LUK,BLI
LUK,FNT
LUK,AMA
LUK,ECP
LUK,BIL
LUK,MLI
LUK,HRL
LUK,GPT
LUK,SGF
LUK,SBA
LUK,FSD
LUK,VPS
LUK,TLH
LUK,MFE
LUK,AVL
LUK,CRP
LUK,SBN
LUK,ROA
LUK,PSC
LUK,MFR
LUK,ABE
LUK,MSO
LUK,FWA
LUK,GRB
LUK,CHA
LUK,RAP
LUK,SHV
LUK,MOB
LUK,JAC
LUK,CRW
LUK,ATW
LUK,BGR
LUK,AGS
LUK,FAY
LUK,GRK
LUK,BIS
LUK,RDM
LUK,LFT
LUK,MOT
LUK,LAN
LUK,AVP
LUK,BQN
LUK,BMI
LUK,MLB
LUK,GJT
LUK,ASE
LUK,MRY
LUK,TRI
LUK,STX
LUK,FCA
LUK,CHO
LUK,DRO
LUK,TVC
LUK,AEX
LUK,GTF
LUK,MGM
LUK,PGD
LUK,ACK
LUK,EGE
