Airport name,DST,IATA,ICAO,Location served,Time
metropolitan area2,Mar-Nov,CHI[1],,"Chicago, Illinois, United States",UTC−06:00
Chipinge Airport,,CHJ,FVCH,"Chipinge, Zimbabwe",UTC+02:00
Chickasha Municipal Airport,Mar-Nov,CHK,KCHK,"Chickasha, Oklahoma, United States",UTC−06:00
Challis Airport (FAA: LLJ),Mar-Nov,CHL,KLLJ,"Challis, Idaho, United States",UTC−07:00
Tnte. FAP Jaime Montreuil Morales Airport,,CHM,SPEO,"Chimbote, Peru",UTC−05:00
Jeonju Airport,,CHN,RKJU,"Jeonju, South Korea",UTC+09:00
Charlottesville–Albemarle Airport,Mar-Nov,CHO,KCHO,"Charlottesville, Virginia, United States",UTC−05:00
Circle Hot Springs Airport,Mar-Nov,CHP,,"Circle Hot Springs, Alaska, United States",UTC−09:00
"Chania International Airport (""Ioannis Daskalogiannis"")",Mar-Oct,CHQ,LGSA,"Chania, Greece",UTC+02:00
"Châteauroux-Centre ""Marcel Dassault"" Airport",Mar-Oct,CHR,LFLX,"Châteauroux, Centre-Val de Loire, France",UTC+01:00
Charleston International Airport / Charleston Air Force Base,Mar-Nov,CHS,KCHS,"Charleston, South Carolina, United States",UTC−05:00
Chatham Islands / Tuuta Airport,Sep-Apr,CHT,NZCI,"Chatham Islands, New Zealand",UTC+12:45
Chuathbaluk Airport (FAA: 9A3),Mar-Nov,CHU,,"Chuathbaluk, Alaska, United States",UTC−09:00
Chaves Airport,Mar-Oct,CHV,LPCH,"Chaves, Portugal",UTC±00:00
"Changuinola ""Capitán Manuel Niño"" International Airport",,CHX,MPCH,"Changuinola, Panama",UTC−05:00
Choiseul Bay Airport,,CHY,AGGC,"Choiseul Bay, Taro Island, Solomon Islands",UTC+11:00
Chiloquin State Airport (FAA: 2S7),Mar-Nov,CHZ,,"Chiloquin, Oregon, United States",UTC−08:00
Ciampino–G. B. Pastine International Airport,Mar-Oct,CIA,LIRA,"Rome, Lazio, Italy",UTC+01:00
Chico Municipal Airport,Mar-Nov,CIC,KCIC,"Chico, California, United States",UTC−08:00
The Eastern Iowa Airport,Mar-Nov,CID,KCID,"Cedar Rapids, Iowa, United States",UTC−06:00
Collie Airport,,CIE,YCOI,"Collie, Western Australia, Australia",UTC+08:00
Chifeng Yulong Airport,,CIF,ZBCF,"Chifeng, Inner Mongolia, China",UTC+08:00
Craig–Moffat Airport (FAA: CAG),Mar-Nov,CIG,KCAG,"Craig, Colorado, United States",UTC−07:00
Changzhi Wangcun Airport,,CIH,ZBCZ,"Changzhi, Shanxi, China",UTC+08:00
Aydın Airport[1] (Çıldır Airport),,CII,LTBD,"Aydın, Turkey",UTC+03:00
Captain Aníbal Arab Airport,,CIJ,SLCO,"Cobija, Bolivia",UTC−04:00
Chalkyitsik Airport,Mar-Nov,CIK,PACI,"Chalkyitsik, Alaska, United States",UTC−09:00
Council Airport (FAA: K29),Mar-Nov,CIL,,"Council, Alaska, United States",UTC−09:00
Cimitarra Airport,,CIM,SKCM,"Cimitarra, Colombia",UTC−05:00
Arthur N. Neu Airport,Mar-Nov,CIN,KCIN,"Carroll, Iowa, United States",UTC−06:00
Teniente Coronel Carmelo Peralta Airport,Oct-Mar,CIO,SGCO,"Concepción, Paraguay",UTC−04:00
Chipata Airport,,CIP,FLCP,"Chipata, Zambia",UTC+02:00
Chiquimula Airport,,CIQ,,"Chiquimula, Guatemala",UTC−06:00
Cairo Regional Airport,Mar-Nov,CIR,KCIR,"Cairo, Illinois, United States",UTC−06:00
Canton Island Airport,,CIS,PCIS,"Canton Island, Kiribati",UTC+13:00
Shymkent International Airport,,CIT,UAII,"Shymkent, Kazakhstan",UTC+06:00
Chippewa County International Airport,Mar-Nov,CIU,KCIU,"Sault Ste Marie, Michigan, United States",UTC−05:00
